N,Mint,City,Group
781,Tyre,Gamla,Phoenician
782,Tyre,Gamla,Phoenician
783,Tyre,Gamla,Phoenician
784,Tyre,Gamla,Phoenician
785,Tyre,Gamla,Phoenician
786,Tyre,Gamla,Phoenician
787,Tyre,Gamla,Phoenician
788,Tyre,Gamla,Phoenician
789,Tyre,Gamla,Phoenician
790,Tyre,Gamla,Phoenician
791,Tyre,Gamla,Phoenician
792,Tyre,Gamla,Phoenician
793,Tyre,Gamla,Phoenician
794,Tyre,Gamla,Phoenician
795,Tyre,Gamla,Phoenician
796,Tyre,Gamla,Phoenician
797,Tyre,Gamla,Phoenician
798,Tyre,Gamla,Phoenician
799,Tyre,Gamla,Phoenician
800,Tyre,Gamla,Phoenician
801,Tyre,Gamla,Phoenician
802,Tyre,Gamla,Phoenician
803,Tyre,Gamla,Phoenician
804,Tyre,Gamla,Phoenician
805,Tyre,Gamla,Phoenician
806,Tyre,Gamla,Phoenician
807,Tyre,Gamla,Phoenician
808,Tyre,Gamla,Phoenician
809,Tyre,Gamla,Phoenician
810,Tyre,Gamla,Phoenician
811,Tyre,Gamla,Phoenician
812,Tyre,Gamla,Phoenician
813,Tyre,Gamla,Phoenician
814,Tyre,Gamla,Phoenician
815,Tyre,Gamla,Phoenician
816,Tyre,Gamla,Phoenician
817,Tyre,Gamla,Phoenician
818,Tyre,Gamla,Phoenician
819,Tyre,Gamla,Phoenician
820,Tyre,Gamla,Phoenician
821,Tyre,Gamla,Phoenician
822,Tyre,Gamla,Phoenician
823,Tyre,Gamla,Phoenician
824,Tyre,Gamla,Phoenician
825,Tyre,Gamla,Phoenician
826,Tyre,Gamla,Phoenician
827,Tyre,Gamla,Phoenician
828,Tyre,Gamla,Phoenician
829,Tyre,Gamla,Phoenician
830,Tyre,Gamla,Phoenician
831,Tyre,Gamla,Phoenician
832,Tyre,Gamla,Phoenician
833,Tyre,Gamla,Phoenician
834,Tyre,Gamla,Phoenician
835,Tyre,Gamla,Phoenician
836,Tyre,Gamla,Phoenician
837,Tyre,Gamla,Phoenician
838,Tyre,Gamla,Phoenician
839,Tyre,Gamla,Phoenician
840,Tyre,Gamla,Phoenician
841,Tyre,Gamla,Phoenician
842,Tyre,Gamla,Phoenician
843,Tyre,Gamla,Phoenician
844,Tyre,Gamla,Phoenician
845,Tyre,Gamla,Phoenician
846,Tyre,Gamla,Phoenician
847,Tyre,Gamla,Phoenician
848,Tyre,Gamla,Phoenician
849,Tyre,Gamla,Phoenician
850,Tyre,Gamla,Phoenician
851,Tyre,Gamla,Phoenician
852,Tyre,Gamla,Phoenician
853,Tyre,Gamla,Phoenician
854,Tyre,Gamla,Phoenician
855,Tyre,Gamla,Phoenician
856,Tyre,Gamla,Phoenician
857,Tyre,Gamla,Phoenician
858,Tyre,Gamla,Phoenician
859,Tyre,Gamla,Phoenician
860,Tyre,Gamla,Phoenician
861,Tyre,Gamla,Phoenician
862,Tyre,Gamla,Phoenician
863,Tyre,Gamla,Phoenician
864,Tyre,Gamla,Phoenician
865,Tyre,Gamla,Phoenician
866,Tyre,Gamla,Phoenician
867,Tyre,Gamla,Phoenician
868,Tyre,Gamla,Phoenician
869,Tyre,Gamla,Phoenician
870,Tyre,Gamla,Phoenician
871,Tyre,Gamla,Phoenician
872,Tyre,Gamla,Phoenician
873,Tyre,Gamla,Phoenician
874,Tyre,Gamla,Phoenician
875,Tyre,Gamla,Phoenician
876,Tyre,Gamla,Phoenician
877,Tyre,Gamla,Phoenician
878,Tyre,Gamla,Phoenician
879,Tyre,Gamla,Phoenician
880,Tyre,Gamla,Phoenician
881,Tyre,Gamla,Phoenician
882,Tyre,Gamla,Phoenician
883,Tyre,Gamla,Phoenician
884,Tyre,Gamla,Phoenician
885,Tyre,Gamla,Phoenician
886,Tyre,Gamla,Phoenician
887,Tyre,Gamla,Phoenician
888,Tyre,Gamla,Phoenician
889,Tyre,Gamla,Phoenician
890,Tyre,Gamla,Phoenician
891,Tyre,Gamla,Phoenician
892,Tyre,Gamla,Phoenician
893,Tyre,Gamla,Phoenician
894,Tyre,Gamla,Phoenician
895,Tyre,Gamla,Phoenician
896,Tyre,Gamla,Phoenician
897,Tyre,Gamla,Phoenician
898,Tyre,Gamla,Phoenician
899,Tyre,Gamla,Phoenician
900,Tyre,Gamla,Phoenician
901,Tyre,Gamla,Phoenician
902,Tyre,Gamla,Phoenician
903,Tyre,Gamla,Phoenician
904,Tyre,Gamla,Phoenician
905,Tyre,Gamla,Phoenician
906,Tyre,Gamla,Phoenician
907,Tyre,Gamla,Phoenician
908,Tyre,Gamla,Phoenician
909,Tyre,Gamla,Phoenician
910,Tyre,Gamla,Phoenician
911,Tyre,Gamla,Phoenician
912,Tyre,Gamla,Phoenician
913,Tyre,Gamla,Phoenician
914,Tyre,Gamla,Phoenician
915,Tyre,Gamla,Phoenician
916,Tyre,Gamla,Phoenician
917,Tyre,Gamla,Phoenician
918,Tyre,Gamla,Phoenician
919,Tyre,Gamla,Phoenician
920,Tyre,Gamla,Phoenician
921,Tyre,Gamla,Phoenician
922,Tyre,Gamla,Phoenician
923,Tyre,Gamla,Phoenician
924,Tyre,Gamla,Phoenician
925,Tyre,Gamla,Phoenician
926,Tyre,Gamla,Phoenician
927,Tyre,Gamla,Phoenician
928,Tyre,Gamla,Phoenician
929,Tyre,Gamla,Phoenician
930,Tyre,Gamla,Phoenician
931,Tyre,Gamla,Phoenician
932,Tyre,Gamla,Phoenician
933,Tyre,Gamla,Phoenician
934,Tyre,Gamla,Phoenician
935,Tyre,Gamla,Phoenician
936,Tyre,Gamla,Phoenician
937,Tyre,Gamla,Phoenician
938,Tyre,Gamla,Phoenician
939,Tyre,Gamla,Phoenician
940,Tyre,Gamla,Phoenician
941,Tyre,Gamla,Phoenician
942,Tyre,Gamla,Phoenician
943,Tyre,Gamla,Phoenician
944,Tyre,Gamla,Phoenician
945,Tyre,Gamla,Phoenician
946,Tyre,Gamla,Phoenician
947,Tyre,Gamla,Phoenician
948,Tyre,Gamla,Phoenician
949,Tyre,Gamla,Phoenician
950,Tyre,Gamla,Phoenician
951,Tyre,Gamla,Phoenician
952,Tyre,Gamla,Phoenician
953,Tyre,Gamla,Phoenician
954,Tyre,Gamla,Phoenician
955,Tyre,Gamla,Phoenician
956,Tyre,Gamla,Phoenician
957,Tyre,Gamla,Phoenician
958,Tyre,Gamla,Phoenician
959,Tyre,Gamla,Phoenician
960,Tyre,Gamla,Phoenician
961,Tyre,Gamla,Phoenician
962,Tyre,Gamla,Phoenician
963,Tyre,Gamla,Phoenician
964,Tyre,Gamla,Phoenician
965,Tyre,Gamla,Phoenician
966,Tyre,Gamla,Phoenician
967,Tyre,Gamla,Phoenician
968,Tyre,Gamla,Phoenician
969,Tyre,Gamla,Phoenician
970,Tyre,Gamla,Phoenician
971,Tyre,Gamla,Phoenician
972,Tyre,Gamla,Phoenician
973,Tyre,Gamla,Phoenician
974,Tyre,Gamla,Phoenician
975,Tyre,Gamla,Phoenician
976,Tyre,Gamla,Phoenician
977,Tyre,Gamla,Phoenician
978,Tyre,Gamla,Phoenician
979,Tyre,Gamla,Phoenician
980,Tyre,Gamla,Phoenician
981,Tyre,Gamla,Phoenician
982,Tyre,Gamla,Phoenician
983,Tyre,Gamla,Phoenician
984,Tyre,Gamla,Phoenician
985,Tyre,Gamla,Phoenician
986,Tyre,Gamla,Phoenician
987,Tyre,Gamla,Phoenician
988,Tyre,Gamla,Phoenician
989,Tyre,Gamla,Phoenician
990,Tyre,Gamla,Phoenician
991,Tyre,Gamla,Phoenician
992,Tyre,Gamla,Phoenician
993,Tyre,Gamla,Phoenician
994,Tyre,Gamla,Phoenician
995,Tyre,Gamla,Phoenician
996,Tyre,Gamla,Phoenician
997,Tyre,Gamla,Phoenician
998,Tyre,Gamla,Phoenician
999,Tyre,Gamla,Phoenician
1000,Tyre,Gamla,Phoenician
1001,Tyre,Gamla,Phoenician
1002,Tyre,Gamla,Phoenician
1003,Tyre,Gamla,Phoenician
1004,Tyre,Gamla,Phoenician
1005,Tyre,Gamla,Phoenician
1006,Tyre,Gamla,Phoenician
1007,Tyre,Gamla,Phoenician
1008,Tyre,Gamla,Phoenician
1009,Tyre,Gamla,Phoenician
1010,Tyre,Gamla,Phoenician
1011,Tyre,Gamla,Phoenician
1012,Tyre,Gamla,Phoenician
1013,Tyre,Gamla,Phoenician
1014,Tyre,Gamla,Phoenician
1015,Tyre,Gamla,Phoenician
1016,Tyre,Gamla,Phoenician
1017,Tyre,Gamla,Phoenician
1018,Tyre,Gamla,Phoenician
1019,Tyre,Gamla,Phoenician
1020,Tyre,Gamla,Phoenician
1021,Tyre,Gamla,Phoenician
1022,Tyre,Gamla,Phoenician
1023,Tyre,Gamla,Phoenician
1024,Tyre,Gamla,Phoenician
1025,Tyre,Gamla,Phoenician
1026,Tyre,Gamla,Phoenician
1027,Tyre,Gamla,Phoenician
1028,Tyre,Gamla,Phoenician
1029,Tyre,Gamla,Phoenician
1030,Tyre,Gamla,Phoenician
1031,Tyre,Gamla,Phoenician
1032,Tyre,Gamla,Phoenician
1033,Tyre,Gamla,Phoenician
1034,Tyre,Gamla,Phoenician
1035,Tyre,Gamla,Phoenician
1036,Tyre,Gamla,Phoenician
1037,Tyre,Gamla,Phoenician
1038,Tyre,Gamla,Phoenician
1039,Tyre,Gamla,Phoenician
1040,Tyre,Gamla,Phoenician
1041,Tyre,Gamla,Phoenician
1042,Tyre,Gamla,Phoenician
1043,Tyre,Gamla,Phoenician
1044,Tyre,Gamla,Phoenician
1045,Tyre,Gamla,Phoenician
1046,Tyre,Gamla,Phoenician
1047,Tyre,Gamla,Phoenician
1048,Tyre,Gamla,Phoenician
1049,Tyre,Gamla,Phoenician
1050,Tyre,Gamla,Phoenician
1051,Tyre,Gamla,Phoenician
1052,Tyre,Gamla,Phoenician
1053,Tyre,Gamla,Phoenician
1054,Tyre,Gamla,Phoenician
1055,Tyre,Gamla,Phoenician
1056,Tyre,Gamla,Phoenician
1057,Tyre,Gamla,Phoenician
1058,Tyre,Gamla,Phoenician
1059,Tyre,Gamla,Phoenician
1060,Tyre,Gamla,Phoenician
1061,Tyre,Gamla,Phoenician
1062,Tyre,Gamla,Phoenician
1063,Tyre,Gamla,Phoenician
1064,Tyre,Gamla,Phoenician
1065,Tyre,Gamla,Phoenician
1066,Tyre,Gamla,Phoenician
1067,Tyre,Gamla,Phoenician
1068,Tyre,Gamla,Phoenician
1069,Tyre,Gamla,Phoenician
1070,Tyre,Gamla,Phoenician
1071,Tyre,Gamla,Phoenician
1072,Tyre,Gamla,Phoenician
1073,Tyre,Gamla,Phoenician
1074,Tyre,Gamla,Phoenician
1075,Tyre,Gamla,Phoenician
1076,Tyre,Gamla,Phoenician
1077,Tyre,Gamla,Phoenician
1078,Tyre,Gamla,Phoenician
1079,Tyre,Gamla,Phoenician
1080,Tyre,Gamla,Phoenician
1081,Tyre,Gamla,Phoenician
1082,Tyre,Gamla,Phoenician
1083,Tyre,Gamla,Phoenician
1084,Tyre,Gamla,Phoenician
1085,Tyre,Gamla,Phoenician
1086,Tyre,Gamla,Phoenician
1087,Tyre,Gamla,Phoenician
1088,Tyre,Gamla,Phoenician
1089,Tyre,Gamla,Phoenician
1090,Tyre,Gamla,Phoenician
1091,Tyre,Gamla,Phoenician
1092,Tyre,Gamla,Phoenician
1093,Tyre,Gamla,Phoenician
1094,Tyre,Gamla,Phoenician
1095,Tyre,Gamla,Phoenician
1096,Tyre,Gamla,Phoenician
1097,Tyre,Gamla,Phoenician
1098,Tyre,Gamla,Phoenician
1099,Tyre,Gamla,Phoenician
1100,Tyre,Gamla,Phoenician
1101,Tyre,Gamla,Phoenician
1102,Tyre,Gamla,Phoenician
1103,Tyre,Gamla,Phoenician
1104,Tyre,Gamla,Phoenician
1105,Tyre,Gamla,Phoenician
1106,Tyre,Gamla,Phoenician
1107,Tyre,Gamla,Phoenician
1108,Tyre,Gamla,Phoenician
1109,Tyre,Gamla,Phoenician
1110,Tyre,Gamla,Phoenician
1111,Tyre,Gamla,Phoenician
1112,Tyre,Gamla,Phoenician
1113,Tyre,Gamla,Phoenician
1114,Tyre,Gamla,Phoenician
1115,Tyre,Gamla,Phoenician
1116,Tyre,Gamla,Phoenician
1117,Tyre,Gamla,Phoenician
1118,Tyre,Gamla,Phoenician
1119,Tyre,Gamla,Phoenician
1120,Tyre,Gamla,Phoenician
1121,Tyre,Gamla,Phoenician
1122,Tyre,Gamla,Phoenician
1123,Tyre,Gamla,Phoenician
1124,Tyre,Gamla,Phoenician
1125,Tyre,Gamla,Phoenician
1126,Tyre,Gamla,Phoenician
1127,Tyre,Gamla,Phoenician
1128,Tyre,Gamla,Phoenician
1129,Tyre,Gamla,Phoenician
1130,Tyre,Gamla,Phoenician
1131,Tyre,Gamla,Phoenician
1132,Tyre,Gamla,Phoenician
1133,Tyre,Gamla,Phoenician
1134,Tyre,Gamla,Phoenician
1135,Tyre,Gamla,Phoenician
1136,Tyre,Gamla,Phoenician
1137,Tyre,Gamla,Phoenician
1138,Tyre,Gamla,Phoenician
1139,Tyre,Gamla,Phoenician
1140,Tyre,Gamla,Phoenician
1141,Tyre,Gamla,Phoenician
1142,Tyre,Gamla,Phoenician
1143,Tyre,Gamla,Phoenician
1144,Tyre,Gamla,Phoenician
1145,Tyre,Gamla,Phoenician
1146,Tyre,Gamla,Phoenician
1147,Tyre,Gamla,Phoenician
1148,Tyre,Gamla,Phoenician
1149,Tyre,Gamla,Phoenician
1150,Tyre,Gamla,Phoenician
1151,Tyre,Gamla,Phoenician
1152,Tyre,Gamla,Phoenician
1153,Tyre,Gamla,Phoenician
1154,Tyre,Gamla,Phoenician
1155,Tyre,Gamla,Phoenician
1156,Tyre,Gamla,Phoenician
1157,Tyre,Gamla,Phoenician
1158,Tyre,Gamla,Phoenician
1159,Tyre,Gamla,Phoenician
1160,Tyre,Gamla,Phoenician
1161,Tyre,Gamla,Phoenician
1162,Tyre,Gamla,Phoenician
1163,Tyre,Gamla,Phoenician
1164,Tyre,Gamla,Phoenician
1165,Tyre,Gamla,Phoenician
1166,Tyre,Gamla,Phoenician
1167,Tyre,Gamla,Phoenician
1168,Tyre,Gamla,Phoenician
1169,Tyre,Gamla,Phoenician
1170,Tyre,Gamla,Phoenician
1171,Tyre,Gamla,Phoenician
1172,Tyre,Gamla,Phoenician
1173,Tyre,Gamla,Phoenician
1174,Tyre,Gamla,Phoenician
1175,Tyre,Gamla,Phoenician
1176,Tyre,Gamla,Phoenician
1177,Tyre,Gamla,Phoenician
1178,Tyre,Gamla,Phoenician
1179,Tyre,Gamla,Phoenician
1180,Tyre,Gamla,Phoenician
1181,Tyre,Gamla,Phoenician
1182,Tyre,Gamla,Phoenician
1183,Tyre,Gamla,Phoenician
1184,Tyre,Gamla,Phoenician
1185,Tyre,Gamla,Phoenician
1186,Tyre,Gamla,Phoenician
1187,Tyre,Gamla,Phoenician
1188,Tyre,Gamla,Phoenician
1189,Tyre,Gamla,Phoenician
1190,Tyre,Gamla,Phoenician
1191,Tyre,Gamla,Phoenician
1192,Tyre,Gamla,Phoenician
1193,Tyre,Gamla,Phoenician
1194,Tyre,Gamla,Phoenician
1195,Tyre,Gamla,Phoenician
1196,Tyre,Gamla,Phoenician
1197,Tyre,Gamla,Phoenician
1198,Tyre,Gamla,Phoenician
1199,Tyre,Gamla,Phoenician
1200,Tyre,Gamla,Phoenician
1201,Tyre,Gamla,Phoenician
1202,Tyre,Gamla,Phoenician
1203,Tyre,Gamla,Phoenician
1204,Tyre,Gamla,Phoenician
1205,Tyre,Gamla,Phoenician
1206,Tyre,Gamla,Phoenician
1207,Tyre,Gamla,Phoenician
1208,Tyre,Gamla,Phoenician
1209,Tyre,Gamla,Phoenician
1210,Tyre,Gamla,Phoenician
1211,Tyre,Gamla,Phoenician
1212,Tyre,Gamla,Phoenician
1213,Tyre,Gamla,Phoenician
1214,Tyre,Gamla,Phoenician
1215,Tyre,Gamla,Phoenician
1216,Tyre,Gamla,Phoenician
1217,Tyre,Gamla,Phoenician
1218,Tyre,Gamla,Phoenician
1219,Tyre,Gamla,Phoenician
1220,Tyre,Gamla,Phoenician
1221,Tyre,Gamla,Phoenician
1222,Tyre,Gamla,Phoenician
1223,Tyre,Gamla,Phoenician
1224,Tyre,Gamla,Phoenician
1225,Tyre,Gamla,Phoenician
1226,Tyre,Gamla,Phoenician
1227,Tyre,Gamla,Phoenician
1228,Tyre,Gamla,Phoenician
1229,Tyre,Gamla,Phoenician
1230,Tyre,Gamla,Phoenician
1231,Tyre,Gamla,Phoenician
1232,Tyre,Gamla,Phoenician
1233,Tyre,Gamla,Phoenician
1234,Tyre,Gamla,Phoenician
1235,Tyre,Gamla,Phoenician
1236,Tyre,Gamla,Phoenician
1237,Tyre,Gamla,Phoenician
1238,Tyre,Gamla,Phoenician
1239,Tyre,Gamla,Phoenician
1240,Tyre,Gamla,Phoenician
1241,Tyre,Gamla,Phoenician
1242,Tyre,Gamla,Phoenician
1243,Tyre,Gamla,Phoenician
1244,Tyre,Gamla,Phoenician
1245,Tyre,Gamla,Phoenician
1246,Tyre,Gamla,Phoenician
1247,Tyre,Gamla,Phoenician
1248,Tyre,Gamla,Phoenician
1249,Tyre,Gamla,Phoenician
1250,Tyre,Gamla,Phoenician
1251,Tyre,Gamla,Phoenician
1252,Tyre,Gamla,Phoenician
1253,Tyre,Gamla,Phoenician
1254,Tyre,Gamla,Phoenician
1255,Tyre,Gamla,Phoenician
1256,Tyre,Gamla,Phoenician
1257,Tyre,Gamla,Phoenician
1258,Tyre,Gamla,Phoenician
1259,Tyre,Gamla,Phoenician
1260,Tyre,Gamla,Phoenician
1261,Tyre,Gamla,Phoenician
1262,Tyre,Gamla,Phoenician
1263,Tyre,Gamla,Phoenician
1264,Tyre,Gamla,Phoenician
1265,Tyre,Gamla,Phoenician
1266,Tyre,Gamla,Phoenician
1267,Tyre,Gamla,Phoenician
1268,Tyre,Gamla,Phoenician
1269,Tyre,Gamla,Phoenician
1270,Tyre,Gamla,Phoenician
1271,Tyre,Gamla,Phoenician
1272,Tyre,Gamla,Phoenician
1273,Tyre,Gamla,Phoenician
1274,Tyre,Gamla,Phoenician
1275,Tyre,Gamla,Phoenician
1276,Tyre,Gamla,Phoenician
1277,Tyre,Gamla,Phoenician
1278,Tyre,Gamla,Phoenician
1279,Tyre,Gamla,Phoenician
1280,Tyre,Gamla,Phoenician
1281,Tyre,Gamla,Phoenician
1282,Tyre,Gamla,Phoenician
1283,Ptolemais,Gamla,Phoenician
1284,Ptolemais,Gamla,Phoenician
1285,Ptolemais,Gamla,Phoenician
1286,Ptolemais,Gamla,Phoenician
1287,Ptolemais,Gamla,Phoenician
1288,Ptolemais,Gamla,Phoenician
1289,Ptolemais,Gamla,Phoenician
1290,Ptolemais,Gamla,Phoenician
1291,Ptolemais,Gamla,Phoenician
1292,Ptolemais,Gamla,Phoenician
1293,Ptolemais,Gamla,Phoenician
1294,Ptolemais,Gamla,Phoenician
1295,Ptolemais,Gamla,Phoenician
1296,Ptolemais,Gamla,Phoenician
1297,Ptolemais,Gamla,Phoenician
1298,Ptolemais,Gamla,Phoenician
1299,Ptolemais,Gamla,Phoenician
1300,Ptolemais,Gamla,Phoenician
1301,Ptolemais,Gamla,Phoenician
1302,Ptolemais,Gamla,Phoenician
1303,Ptolemais,Gamla,Phoenician
1304,Ptolemais,Gamla,Phoenician
1305,Ptolemais,Gamla,Phoenician
1306,Ptolemais,Gamla,Phoenician
1307,Ptolemais,Gamla,Phoenician
1308,Ptolemais,Gamla,Phoenician
1309,Ptolemais,Gamla,Phoenician
1310,Ptolemais,Gamla,Phoenician
1311,Ptolemais,Gamla,Phoenician
1312,Ptolemais,Gamla,Phoenician
1313,Ptolemais,Gamla,Phoenician
1314,Ptolemais,Gamla,Phoenician
1315,Ptolemais,Gamla,Phoenician
1316,Ptolemais,Gamla,Phoenician
1317,Ptolemais,Gamla,Phoenician
1318,Ptolemais,Gamla,Phoenician
1319,Ptolemais,Gamla,Phoenician
1320,Ptolemais,Gamla,Phoenician
1321,Hippos,Gamla,Hellenistic
1322,Gadara,Gamla,Hellenistic
1323,Gadara,Gamla,Hellenistic
1324,Gadara,Gamla,Hellenistic
1325,Gadara,Gamla,Hellenistic
1326,Scythopolis,Gamla,Hellenistic
1327,Chalcis,Gamla,Hellenistic
1328,Uncertain,Gamla,Unknown
1329,Damascus,Gamla,Hellenistic
1330,Petra,Gamla,Nabatean
1331,Sidon,Gamla,Phoenician
1332,Tiberias,Gamla,Local
1333,Uncertain,Gamla,Unknown
1334,Uncertain,Gamla,Unknown
1335,Uncertain,Gamla,Unknown
1336,Byblos,Gamla,Phoenician
1337,Sidon,Gamla,Phoenician
1338,Sidon,Gamla,Phoenician
1339,Sidon,Gamla,Phoenician
1340,Tyre,Gamla,Phoenician
1341,Tyre,Gamla,Phoenician
1342,Tyre,Gamla,Phoenician
1343,Tyre,Gamla,Phoenician
1344,Tyre,Gamla,Phoenician
1345,Tyre,Gamla,Phoenician
1346,Tyre,Gamla,Phoenician
1347,Tyre,Gamla,Phoenician
1348,Tyre,Gamla,Phoenician
1349,Tyre,Gamla,Phoenician
1350,Tyre,Gamla,Phoenician
1351,Tyre,Gamla,Phoenician
1352,Tyre,Gamla,Phoenician
1353,Tyre,Gamla,Phoenician
1354,Tyre,Gamla,Phoenician
1355,Tyre,Gamla,Phoenician
1356,Tyre,Gamla,Phoenician
1357,Tyre,Gamla,Phoenician
1358,Tyre,Gamla,Phoenician
1359,Tyre,Gamla,Phoenician
1360,Tyre,Gamla,Phoenician
1361,Tyre,Gamla,Phoenician
1362,Tyre,Gamla,Phoenician
1363,Tyre,Gamla,Phoenician
1364,Tyre,Gamla,Phoenician
1365,Tyre,Gamla,Phoenician
1366,Tyre,Gamla,Phoenician
1367,Tyre,Gamla,Phoenician
1368,Tyre,Gamla,Phoenician
1369,Tyre,Gamla,Phoenician
1370,Tyre,Gamla,Phoenician
1371,Tyre,Gamla,Phoenician
1372,Tyre,Gamla,Phoenician
1373,Tyre,Gamla,Phoenician
1374,Tyre,Gamla,Phoenician
1375,Tyre,Gamla,Phoenician
1376,Tyre,Gamla,Phoenician
1377,Tyre,Gamla,Phoenician
1378,Tyre,Gamla,Phoenician
1379,Tyre,Gamla,Phoenician
1380,Tyre,Gamla,Phoenician
1381,Tyre,Gamla,Phoenician
1382,Tyre,Gamla,Phoenician
1383,Tyre,Gamla,Phoenician
1384,Tyre,Gamla,Phoenician
1385,Tyre,Gamla,Phoenician
1386,Tyre,Gamla,Phoenician
1387,Tyre,Gamla,Phoenician
1388,Tyre,Gamla,Phoenician
1389,Tyre,Gamla,Phoenician
1390,Tyre,Gamla,Phoenician
1391,Tyre,Gamla,Phoenician
1392,Tyre,Gamla,Phoenician
1393,Tyre,Gamla,Phoenician
1394,Tyre,Gamla,Phoenician
1395,Tyre,Gamla,Phoenician
1396,Tyre,Gamla,Phoenician
1397,Tyre,Gamla,Phoenician
1398,Tyre,Gamla,Phoenician
1399,Tyre,Gamla,Phoenician
1400,Tyre,Gamla,Phoenician
1401,Tyre,Gamla,Phoenician
1402,Tyre,Gamla,Phoenician
1403,Tyre,Gamla,Phoenician
1404,Tyre,Gamla,Phoenician
1405,Tyre,Gamla,Phoenician
1406,Tyre,Gamla,Phoenician
1407,Tyre,Gamla,Phoenician
1408,Tyre,Gamla,Phoenician
1409,Tyre,Gamla,Phoenician
1410,Tyre,Gamla,Phoenician
1411,Tyre,Gamla,Phoenician
1412,Tyre,Gamla,Phoenician
1413,Tyre,Gamla,Phoenician
1414,Tyre,Gamla,Phoenician
1415,Tyre,Gamla,Phoenician
1416,Tyre,Gamla,Phoenician
1417,Tyre,Gamla,Phoenician
1418,Tyre,Gamla,Phoenician
1419,Tyre,Gamla,Phoenician
1420,Tyre,Gamla,Phoenician
1421,Tyre,Gamla,Phoenician
1422,Tyre,Gamla,Phoenician
1423,Tyre,Gamla,Phoenician
1424,Tyre,Gamla,Phoenician
1425,Tyre,Gamla,Phoenician
1426,Tyre,Gamla,Phoenician
1427,Tyre,Gamla,Phoenician
1428,Tyre,Gamla,Phoenician
1429,Tyre,Gamla,Phoenician
1430,Tyre,Gamla,Phoenician
1431,Tyre,Gamla,Phoenician
1432,Tyre,Gamla,Phoenician
1433,Tyre,Gamla,Phoenician
1434,Tyre,Gamla,Phoenician
1435,Tyre,Gamla,Phoenician
1436,Tyre,Gamla,Phoenician
1437,Tyre,Gamla,Phoenician
1438,Tyre,Gamla,Phoenician
1439,Tyre,Gamla,Phoenician
1440,Tyre,Gamla,Phoenician
1441,Tyre,Gamla,Phoenician
1442,Tyre,Gamla,Phoenician
1443,Tyre,Gamla,Phoenician
1444,Tyre,Gamla,Phoenician
1445,Tyre,Gamla,Phoenician
1446,Tyre,Gamla,Phoenician
1447,Tyre,Gamla,Phoenician
1448,Tyre,Gamla,Phoenician
1449,Tyre,Gamla,Phoenician
1450,Tyre,Gamla,Phoenician
1451,Tyre,Gamla,Phoenician
1452,Tyre,Gamla,Phoenician
1453,Tyre,Gamla,Phoenician
1454,Tyre,Gamla,Phoenician
1455,Tyre,Gamla,Phoenician
1456,Tyre,Gamla,Phoenician
1457,Tyre,Gamla,Phoenician
1458,Tyre,Gamla,Phoenician
1459,Tyre,Gamla,Phoenician
1460,Tyre,Gamla,Phoenician
1461,Tyre,Gamla,Phoenician
1462,Tyre,Gamla,Phoenician
1463,Tyre,Gamla,Phoenician
1464,Tyre,Gamla,Phoenician
1465,Tyre,Gamla,Phoenician
1466,Tyre,Gamla,Phoenician
1467,Tyre,Gamla,Phoenician
1468,Tyre,Gamla,Phoenician
1469,Tyre,Gamla,Phoenician
1470,Tyre,Gamla,Phoenician
1471,Tyre,Gamla,Phoenician
1472,Tyre,Gamla,Phoenician
1473,Tyre,Gamla,Phoenician
1474,Tyre,Gamla,Phoenician
1475,Tyre,Gamla,Phoenician
1476,Tyre,Gamla,Phoenician
1477,Tyre,Gamla,Phoenician
1478,Tyre,Gamla,Phoenician
1479,Tyre,Gamla,Phoenician
1480,Tyre,Gamla,Phoenician
1481,Tyre,Gamla,Phoenician
1482,Tyre,Gamla,Phoenician
1483,Tyre,Gamla,Phoenician
1484,Tyre,Gamla,Phoenician
1485,Tyre,Gamla,Phoenician
1486,Tyre,Gamla,Phoenician
1487,Tyre,Gamla,Phoenician
1488,Tyre,Gamla,Phoenician
1489,Tyre,Gamla,Phoenician
1490,Tyre,Gamla,Phoenician
1491,Tyre,Gamla,Phoenician
1492,Tyre,Gamla,Phoenician
1493,Tyre,Gamla,Phoenician
1494,Tyre,Gamla,Phoenician
1495,Tyre,Gamla,Phoenician
1496,Tyre,Gamla,Phoenician
1497,Tyre,Gamla,Phoenician
1498,Tyre,Gamla,Phoenician
1499,Tyre,Gamla,Phoenician
1500,Tyre,Gamla,Phoenician
1501,Tyre,Gamla,Phoenician
1502,Tyre,Gamla,Phoenician
1503,Tyre,Gamla,Phoenician
1504,Tyre,Gamla,Phoenician
1505,Tyre,Gamla,Phoenician
1506,Tyre,Gamla,Phoenician
1507,Tyre,Gamla,Phoenician
1508,Tyre,Gamla,Phoenician
1509,Tyre,Gamla,Phoenician
1510,Tyre,Gamla,Phoenician
1511,Tyre,Gamla,Phoenician
1512,Tyre,Gamla,Phoenician
1513,Tyre,Gamla,Phoenician
1514,Tyre,Gamla,Phoenician
1515,Tyre,Gamla,Phoenician
1516,Tyre,Gamla,Phoenician
1517,Tyre,Gamla,Phoenician
1518,Tyre,Gamla,Phoenician
1519,Tyre,Gamla,Phoenician
1520,Tyre,Gamla,Phoenician
1521,Tyre,Gamla,Phoenician
1522,Tyre,Gamla,Phoenician
1523,Tyre,Gamla,Phoenician
